month,applications,decisions,speed_ratio,queue_reduction,cumulative_queue_reduction
2015-01-01,1173,612,0.5217391304347826,-561,-561
2015-02-01,863,676,0.7833140208574739,-187,-748
2015-03-01,929,764,0.8223896663078579,-165,-913
2015-04-01,935,622,0.66524064171123,-313,-1226
2015-05-01,780,742,0.9512820512820512,-38,-1264
2015-06-01,986,567,0.5750507099391481,-419,-1683
2015-07-01,830,562,0.6771084337349398,-268,-1951
2015-08-01,759,702,0.924901185770751,-57,-2008
2015-09-01,843,864,1.0249110320284698,21,-1987
2015-10-01,960,855,0.890625,-105,-2092
2015-11-01,964,986,1.0228215767634854,22,-2070
2015-12-01,1016,1062,1.045275590551181,46,-2024
2016-01-01,991,971,0.9798183652875883,-20,-2044
2016-02-01,1030,1104,1.0718446601941747,74,-1970
2016-03-01,993,1216,1.2245720040281973,223,-1747
2016-04-01,901,928,1.029966703662597,27,-1720
2016-05-01,788,1212,1.5380710659898478,424,-1296
2016-06-01,933,933,1.0,0,-1296
2016-07-01,616,698,1.1331168831168832,82,-1214
2016-08-01,846,796,0.9408983451536643,-50,-1264
2016-09-01,873,737,0.8442153493699885,-136,-1400
2016-10-01,1132,803,0.7093639575971732,-329,-1729
2016-11-01,1342,925,0.6892697466467959,-417,-2146
2016-12-01,681,992,1.4566813509544787,311,-1835
2017-01-01,643,928,1.4432348367029548,285,-1550
2017-02-01,879,971,1.1046643913538112,92,-1458
2017-03-01,1058,1405,1.327977315689981,347,-1111
2017-04-01,648,1042,1.6080246913580247,394,-717
2017-05-01,810,1707,2.1074074074074076,897,180
2017-06-01,899,1177,1.3092324805339266,278,458
2017-07-01,721,877,1.2163661581137308,156,614
2017-08-01,1002,925,0.9231536926147704,-77,537
2017-09-01,1025,1253,1.2224390243902439,228,765
2017-10-01,1117,1299,1.162936436884512,182,947
2017-11-01,1144,1293,1.1302447552447552,149,1096
2017-12-01,758,1033,1.3627968337730871,275,1371
2018-01-01,1120,1102,0.9839285714285714,-18,1353
2018-02-01,997,909,0.9117352056168505,-88,1265
2018-03-01,982,1101,1.1211812627291242,119,1384
2018-04-01,978,1038,1.0613496932515338,60,1444
2018-05-01,878,814,0.9271070615034168,-64,1380
2018-06-01,1084,851,0.7850553505535055,-233,1147
2018-07-01,925,779,0.8421621621621621,-146,1001
2018-08-01,875,831,0.9497142857142857,-44,957
2018-09-01,715,707,0.9888111888111888,-8,949
2018-10-01,1212,909,0.75,-303,646
2018-11-01,1070,740,0.6915887850467289,-330,316
2018-12-01,840,624,0.7428571428571429,-216,100
2019-01-01,1156,930,0.8044982698961938,-226,-126
2019-02-01,978,893,0.9130879345603272,-85,-211
2019-03-01,1028,954,0.9280155642023347,-74,-285
2019-04-01,983,788,0.8016276703967447,-195,-480
2019-05-01,896,861,0.9609375,-35,-515
2019-06-01,819,818,0.9987789987789988,-1,-516
2019-07-01,993,734,0.7391742195367573,-259,-775
2019-08-01,897,901,1.004459308807135,4,-771
2019-09-01,1021,951,0.931439764936337,-70,-841
2019-10-01,1162,1046,0.9001721170395869,-116,-957
2019-11-01,1058,947,0.8950850661625709,-111,-1068
2019-12-01,971,618,0.6364572605561277,-353,-1421
2020-01-01,1130,698,0.6176991150442478,-432,-1853
2020-02-01,1129,726,0.6430469441984057,-403,-2256
2020-03-01,994,957,0.9627766599597586,-37,-2293
2020-04-01,669,780,1.1659192825112108,111,-2182
2020-05-01,762,693,0.9094488188976378,-69,-2251
2020-06-01,843,613,0.727164887307236,-230,-2481
2020-07-01,685,437,0.637956204379562,-248,-2729
2020-08-01,683,586,0.8579795021961932,-97,-2826
2020-09-01,1085,875,0.8064516129032258,-210,-3036
2020-10-01,1043,752,0.7209971236816874,-291,-3327
2020-11-01,1381,717,0.5191889934829833,-664,-3991
2020-12-01,1165,715,0.6137339055793991,-450,-4441
2021-01-01,1169,657,0.5620188195038495,-512,-4953
2021-02-01,1081,616,0.5698427382053654,-465,-5418
2021-03-01,1224,626,0.511437908496732,-598,-6016
2021-04-01,1202,764,0.6356073211314476,-438,-6454
2021-05-01,1349,600,0.4447739065974796,-749,-7203
2021-06-01,1532,558,0.3642297650130548,-974,-8177
2021-07-01,1124,334,0.297153024911032,-790,-8967
2021-08-01,1117,727,0.6508504923903312,-390,-9357
2021-09-01,1069,607,0.567820392890552,-462,-9819
2021-10-01,1034,535,0.5174081237911026,-499,-10318
